txHash,block,timestamp,from,to,selector,status,conditional_bucket,conditional_fields_inferred,confidence
0x7b975b0035f460ad2bcd9d8bab039d9988956288f9271d046572b5f0588c45bf,433500360,1771444358,0x13bc345dbfa3e0d165cff8741d55f285daf81698,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x9799757a8e2d5ade5baa6c93c4bea99a977ca8d8d31cc990f0ed561d5fd51e8f,433500360,1771444358,0x954cbe6534d6fce17c89c278d020d131a34cf475,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x6debf8d8be203e5847c74ea0346ee734d8472470fadaac41181b7a245dc9e782,433500360,1771444358,0x15b102f61d7681e1f6a2a55f2437a86b10f9a729,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0x6bfd6286,success,PackedUniV3Swap_WithExtraLimitParam,packed order: marketId + maxAmountIn + minAmountOut (word1 low4) + price/limit field,0.68
0x48df1973e1bcd843c4747fa79f06767e9ce5b4fbdfe258c0f054f5eba952bf6c,433500360,1771444358,0x6edd4e997132b466ebfe7ddc58373148e36f020e,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0x6bfd6286,success,PackedUniV3Swap_WithExtraLimitParam,packed order: marketId + maxAmountIn + minAmountOut (word1 low4) + price/limit field,0.68
0x61773763598f317ca55bb92c25bf8df9278f212111f137346fb75643ac137515,433500360,1771444358,0x9394f7ec2f704e7a0fac2e877ee5dc16e3276c30,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x2f74a67d68ef5c6c015838818d0c88d5e056bdbe578a6d2d6acb2d92ec8777e0,433500360,1771444358,0xd118aa7a1545886e3e47ff57cf3694263d42e1d8,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x1c0441cd6c845f6b283c507d195e5517654736b3194e47ed61c6c5349f9df711,433500360,1771444358,0x1cfaab4e0129dc1098aa5f5c4523fdbff57c08a0,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x40bc8c7fbc7a1fad08867c5fa917498f1aa58aa5965cc45c30294ca62ac09b97,433500360,1771444358,0xe71bc05b7a23b2792ad9056967e27bb389f25643,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x95242e6a8650ef0e744d6948da4ac2e37c2637933cc6702d4b18c59a4a1de34c,433500360,1771444358,0x26872a10e8f9a825df6e27919a7fc1cb606cf386,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x19839a49aa59881ac51814d4e8a61bc818c679ac28a56a114868707921da4aa1,433500360,1771444358,0x8b5c3b47badc3133fb8c08ad4cdc3b9de3818cac,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x75205888ce461d2eb91b3f1dc03a1d829c4683657e2bf039c716a6ff3c8a236e,433500360,1771444358,0xad2215c56ce6a60866269d585fd7d18ba54c6aa9,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0xbcfdee2f85e0fc14dae509e9428a90a6c49cfd6d3c6b2477497d3525057787e7,433500360,1771444358,0xff53f806e3df1b22e0a2ced8af230e66c97df36d,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0x9ad535e34f20c95b9d25d5ac4cb9726240b1fcba12bb37c6c55805a18a1566e2,433500360,1771444358,0x0e6e8a004c836489585075f52dd952263d335dcf,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb42ebb63,success,PackedUniV3Swap_AlternateSideOrExactOutput,packed order variant: marketId + amount field + limit/side field + flag,0.66
0xa0cba5e894af761ce8c5e0ac2a07ea4bc5b6174493b862121d5d206b67ea2c46,433500360,1771444358,0x84e6c358cbdacbe6aa44b8d8fbd1309a50d2702a,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
0xf72dfaa82b25aa3090b1721f47d13d8ca91f91f951a032fa1d31327bf5e0f972,433500360,1771444358,0x7b3dd65a37d2cb6bb5e7a3ae1cd88ce5b114f166,0x27920e8039d2b6e93e36f5d5f53b998e2e631a70,0xb2460c48,success,PackedUniV3Swap_ExactInput_or_MarketWithPriceLimit,packed order: marketId + amount cap + price/limit field + flag; frequent conditional reverts,0.72
